kernel_radius,b,c,h,w,max_fn_sec,max_fn_value,luca_fn_sec,luca_fn_value
2,4,4,4,4,0.04059156599396374,0.9953063130378723,0.0004841430054511875,0.9953063130378723
2,4,4,8,8,0.04682925599627197,0.9999783039093018,0.00036712300061481073,0.9999783039093018
2,4,4,16,16,0.05566329300199868,0.9999278783798218,0.0003704429982462898,0.9999278783798218
2,4,4,32,32,0.05399313299858477,0.9999849796295166,0.000363310995453503,0.9999849796295166
2,4,4,64,64,0.048981628999172244,0.9999947547912598,0.0005115980020491406,0.9999947547912598
2,4,4,128,128,0.04814274299860699,0.9999997615814209,0.0006273440012591891,0.9999997615814209
2,4,8,4,4,0.16083544400316896,0.999962329864502,0.00037669299490517005,0.999962329864502
2,4,8,8,8,0.1605651480058441,0.9999468326568604,0.0003573200010578148,0.9999468326568604
2,4,8,16,16,0.14753588500025216,0.9999762773513794,0.0004254259984008968,0.9999762773513794
2,4,8,32,32,0.1598947840029723,0.9999915361404419,0.0004961529994034208,0.9999915361404419
2,4,8,64,64,0.14827753599820426,0.9999997615814209,0.0004114460025448352,0.9999997615814209
2,4,8,128,128,0.1618147940025665,0.9999998807907104,0.004053749995364342,0.9999998807907104
2,4,16,4,4,0.5888841139967553,0.9998682737350464,0.000362394996045623,0.9998682737350464
2,4,16,8,8,0.5814054820002639,0.9999587535858154,0.00036041500425199047,0.9999587535858154
2,4,16,16,16,0.6458940930024255,0.9999998807907104,0.0006366080051520839,0.9999998807907104
2,4,16,32,32,0.6009738630018546,0.9999990463256836,0.00043053899571532384,0.9999990463256836
2,4,16,64,64,0.6004614460034645,0.9999998807907104,0.0019235379950259812,0.9999998807907104
2,4,16,128,128,0.586789412998769,0.9999998807907104,0.007095430999470409,0.9999998807907104
2,4,32,4,4,2.3560520430037286,0.9999808073043823,0.00041332299588248134,0.9999808073043823
2,4,32,8,8,2.3287551009998424,0.9999985694885254,0.0003894559995387681,0.9999985694885254
2,4,32,16,16,2.3320708829996875,1.0,0.0004359939994174056,0.9999998807907104
2,4,32,32,32,2.376485145992774,0.9999998807907104,0.0021408070024335757,0.9999998807907104
2,4,32,64,64,2.35408532499423,1.0,0.009213602999807335,1.0
2,4,32,128,128,2.688885946001392,1.0,0.02854777599713998,1.0
2,4,64,4,4,11.486313538000104,0.9999878406524658,0.0010309499994036742,0.9999878406524658
2,4,64,8,8,9.702932934000273,0.9999995231628418,0.0004390139947645366,0.9999995231628418
2,4,64,16,16,9.479798735999793,0.9999998807907104,0.0016256280068773776,0.9999998807907104
2,4,64,32,32,9.588775631003955,1.0,0.008497583003190812,1.000000238418579
2,4,64,64,64,10.464496443004464,1.000000238418579,0.027396716999646742,1.000000238418579
2,4,64,128,128,9.479757880006218,1.000000238418579,0.8661173739965307,1.000000238418579
2,4,128,4,4,48.26935318799951,0.9999984502792358,0.0011734219951904379,0.9999984502792358
2,4,128,8,8,49.62159607400099,0.9999998807907104,0.0022806699998909608,0.9999997615814209
2,4,128,16,16,50.4076458250056,1.0,0.008176479001122061,1.0
2,4,128,32,32,50.34541800099396,1.0,0.03315998000471154,1.0
2,4,128,64,64,52.807051331001276,1.000000238418579,9.83982990700315,1.000000238418579
