kernel_radius, b, c  , h  , w  , max_fn_sec           , max_fn_value      , luca_fn_sec          , luca_fn_value
            2, 4,   4,   4,   4,  0.09461905300122453 , 0.7982980608940125, 0.0007331219967454672, 0.9816271066665649
            2, 4,   4,   8,   8,  0.05923548400460277 , 0.9558870196342468, 0.0006569269971805625, 0.9993034601211548
            2, 4,   4,  16,  16,  0.06293829200149048 , 0.9912509918212891, 0.0006301419998635538, 0.9997843503952026
            2, 4,   4,  32,  32,  0.059319546999176964, 0.9978655576705933, 0.0006393000003299676, 0.9998787641525269
            2, 4,   4,  64,  64,  0.052533510999637656, 0.9995421171188354, 0.000785063995863311 , 0.9999539256095886
            2, 4,   4, 128, 128,  0.06517633300245507 , 0.9998574256896973, 0.0026069010054925457, 0.9999944567680359
            2, 4,   8,   4,   4,  0.20415392699942458 , 0.7675999999046326, 0.0005119349953019992, 0.9901908040046692
            2, 4,   8,   8,   8,  0.21275085199886234 , 0.9560204744338989, 0.0007078670023474842, 0.9984418749809265
            2, 4,   8,  16,  16,  0.21271404199796962 , 0.9906394481658936, 0.0005641430034302175, 0.9996752738952637
            2, 4,   8,  32,  32,  0.19638694199966267 , 0.9979453086853027, 0.0005108690020279028, 0.9999101161956787
            2, 4,   8,  64,  64,  0.21300280899595236 , 0.9994805455207825, 0.0005599850046564825, 0.9999836087226868
            2, 4,   8, 128, 128,  0.22095576800347771 , 0.9998730421066284, 0.0031016200009617023, 0.9999954700469971
            2, 4,  16,   4,   4,  0.7305419219992473  , 0.7699629068374634, 0.0007078729977365583, 0.9887465834617615
            2, 4,  16,   8,   8,  0.7371745630007354  , 0.9568744897842407, 0.0004949520007357933, 0.998305082321167
            2, 4,  16,  16,  16,  0.8055950080015464  , 0.9908352494239807, 0.0004710729990620166, 0.9995889067649841
            2, 4,  16,  32,  32,  0.734358945999702   , 0.9978905916213989, 0.0008302249989355914, 0.9999098777770996
            2, 4,  16,  64,  64,  0.7119700070034014  , 0.9994958639144897, 0.003216966004401911 , 0.9999804496765137
            2, 4,  16, 128, 128,  0.7015489059995161  , 0.9998763203620911, 0.007657422000193037 , 0.9999951720237732
            2, 4,  32,   4,   4,  2.722903710004175   , 0.7773146629333496, 0.0005646639983751811, 0.9896543622016907
            2, 4,  32,   8,   8,  2.641309339000145   , 0.9571705460548401, 0.0005146909970790148, 0.998180091381073
            2, 4,  32,  16,  16,  2.6616303240007255  , 0.9908331036567688, 0.0006627900002058595, 0.9996591210365295
            2, 4,  32,  32,  32,  2.706902242003707   , 0.9978988170623779, 0.003397938999114558 , 0.9999191164970398
            2, 4,  32,  64,  64,  2.642542890003824   , 0.9994946718215942, 0.009834427997702733 , 0.9999783039093018
            2, 4,  32, 128, 128,  2.6212448779988335  , 0.9998752474784851, 0.02895700200315332  , 0.9999948740005493
            2, 4,  64,   4,   4, 10.166674052998133   , 0.7736188173294067, 0.0004561399982776493, 0.989326536655426
            2, 4,  64,   8,   8, 11.234465469002316   , 0.9568969011306763, 0.0006723070036969148, 0.9982606768608093
            2, 4,  64,  16,  16,  9.486183146000258   , 0.9908095598220825, 0.001784796993888449 , 0.9996314644813538
            2, 4,  64,  32,  32,  9.39195589099836    , 0.997882068157196 , 0.006057633996533696 , 0.9999176859855652
            2, 4,  64,  64,  64,  9.180567031995452   , 0.9994920492172241, 0.026421706003020518 , 0.9999798536300659
            2, 4,  64, 128, 128, 11.828462935998687   , 0.9998759031295776, 1.1150810920007643   , 0.9999950528144836
            2, 4, 128,   4,   4, 41.648192499997094   , 0.7741371393203735, 0.0005264360006549396, 0.9898362159729004
            2, 4, 128,   8,   8, 41.02281928000593    , 0.9569767117500305, 0.0037259949967847206, 0.9982753992080688
            2, 4, 128,  16,  16, 42.082493510999484   , 0.9908849000930786, 0.005546652995690238 , 0.9996364116668701
            2, 4, 128,  32,  32, 42.767719930001476   , 0.9978764057159424, 0.034049603003950324 , 0.9999151825904846
            2, 4, 128,  64,  64, 40.61010519100091    , 0.9994935989379883, 1.4425610679973033   , 0.9999798536300659
